undergradStatus,entryStatus,gender,raceEthnicity,year,count
<=50K,Bachelors,Male,<40,0,1
<=50K,Bachelors,Male,<60,0,1
<=50K,HS-grad,Male,<40,0,1
<=50K,11th,Male,<60,0,1
<=50K,Bachelors,Female,<30,0,1
<=50K,Masters,Female,<40,0,1
<=50K,9th,Female,<50,0,1
>50K,HS-grad,Male,<60,0,1
>50K,Masters,Female,<40,0,1
>50K,Bachelors,Male,<50,0,1
>50K,Some-college,Male,<40,0,1
>50K,Bachelors,Male,<40,0,1
<=50K,Bachelors,Female,<30,0,1
<=50K,Assoc-acdm,Male,<40,0,1
>50K,Assoc-voc,Male,<50,0,1
<=50K,7th-8th,Male,<40,0,1
<=50K,HS-grad,Male,<30,0,1
<=50K,HS-grad,Male,<40,0,1
<=50K,11th,Male,<40,0,1
>50K,Masters,Female,<50,0,1
>50K,Doctorate,Male,<50,0,1
<=50K,HS-grad,Female,<60,0,1
<=50K,9th,Male,<40,0,1
<=50K,11th,Male,<50,0,1
<=50K,HS-grad,Female,<60,0,1
>50K,Bachelors,Male,<60,0,1
<=50K,HS-grad,Male,<20,0,1
>50K,Some-college,Male,<60,0,1
<=50K,HS-grad,Male,<40,0,1
<=50K,HS-grad,Male,<50,0,1
<=50K,Assoc-acdm,Male,<30,0,1
<=50K,Some-college,Male,<30,0,1
<=50K,Bachelors,Male,<50,0,1
<=50K,Some-college,Male,<40,0,1
<=50K,Some-college,Male,<30,0,1
<=50K,11th,Male,<50,0,1
<=50K,Some-college,Male,<30,0,1
<=50K,HS-grad,Female,<20,0,1
>50K,Some-college,Male,<40,0,1
<=50K,Assoc-acdm,Male,<50,0,1
<=50K,9th,Male,<40,0,1
<=50K,Bachelors,Male,<60,0,1
<=50K,Bachelors,Male,<30,0,1
<=50K,HS-grad,Female,<50,0,1
<=50K,HS-grad,Male,<30,0,1
>50K,Bachelors,Male,<60,0,1
<=50K,HS-grad,Male,<60,0,1
<=50K,Masters,Female,<50,0,1
<=50K,Assoc-voc,Male,<50,0,1
<=50K,Assoc-voc,Male,<30,0,1
<=50K,Some-college,Female,<30,0,1
<=50K,HS-grad,Female,<20,0,1
>50K,Prof-school,Female,<50,0,1
>50K,Bachelors,Male,<60,0,1
<=50K,HS-grad,Male,<50,0,1
>50K,Some-college,Male,<50,0,1
<=50K,5th-6th,Male,<50,0,1
<=50K,Assoc-voc,Male,<40,0,1
<=50K,HS-grad,Male,<50,0,1
<=50K,HS-grad,Male,<40,0,1
<=50K,Bachelors,Male,<40,0,1
<=50K,7th-8th,Male,<40,0,1
<=50K,HS-grad,Male,<50,0,1
>50K,Doctorate,Male,<50,0,1
<=50K,Some-college,Male,<30,0,1
<=50K,HS-grad,Male,<40,0,1
<=50K,Some-college,Female,<30,0,1
>50K,HS-grad,Female,<60,0,1
>50K,Some-college,Male,<50,0,1
<=50K,Some-college,Male,<30,0,1
<=50K,Some-college,Male,<20,0,1
<=50K,Bachelors,Female,<40,0,1
>50K,Bachelors,Male,<30,0,1
<=50K,Some-college,Male,<30,0,1
<=50K,Some-college,Male,>=60,0,1
